name,min,max,mean,median,std,p05,p95,area00,area05,area075
SUPIR/ava_images___360165.npy.gz,0.0,0.24743330478668213,0.11826746165752411,0.12672042846679688,0.059821903705596924,0.0,0.20450067520141602,0.8802816901408451,0.0,0.0
SUPIR/ava_images___426629.npy.gz,0.0,0.28199365735054016,0.1637454628944397,0.19596773386001587,0.08874072879552841,0.0,0.2730253338813782,0.9014423076923077,0.0,0.0
SUPIR/ava_images___436880.npy.gz,0.0,0.2743673324584961,0.1667584627866745,0.1808532476425171,0.06213248521089554,0.0,0.23773077130317688,0.9191176470588235,0.0,0.0
SUPIR/ava_images___46021.npy.gz,0.0,0.1688050627708435,0.06068669259548187,0.057912468910217285,0.03365158662199974,0.0,0.12244999408721924,0.893802966101695,0.0,0.0
SUPIR/ava_images___472713.npy.gz,0.0,0.2403523325920105,0.11861361563205719,0.13385117053985596,0.059891227632761,0.0,0.19651257991790771,0.8881578947368421,0.0,0.0
SUPIR/ava_images___501777.npy.gz,0.0,0.2285955548286438,0.12592868506908417,0.13185995817184448,0.04747419431805611,0.0,0.1886674165725708,0.9273830935251799,0.0,0.0
SUPIR/ava_images___564572.npy.gz,0.0,0.22261464595794678,0.0941653624176979,0.09657394886016846,0.05387873575091362,0.0,0.17349350452423096,0.9283371913580247,0.0,0.0
SUPIR/ava_images___588008.npy.gz,0.0,0.11773568391799927,0.06672050058841705,0.07059431076049805,0.0316442996263504,0.0,0.11304336786270142,0.8567232375979112,0.0,0.0
SUPIR/ava_images___645845.npy.gz,0.0,0.2774253487586975,0.10558296740055084,0.10545891523361206,0.07045625150203705,0.0,0.2139676809310913,0.8471385542168675,0.0,0.0
SUPIR/ava_images___699615.npy.gz,0.0,0.2016800045967102,0.08253978192806244,0.09107667207717896,0.06212877854704857,0.0,0.1725291609764099,0.8735150244584207,0.0,0.0
SUPIR/ava_images___710191.npy.gz,0.0,0.2624545097351074,0.10026121139526367,0.0913238525390625,0.0771392360329628,0.0,0.23455151915550232,0.860969387755102,0.0,0.0
SUPIR/ava_images___737450.npy.gz,0.0,0.18597060441970825,0.06126408651471138,0.048196613788604736,0.04531360790133476,0.0,0.13916021585464478,0.8823529411764706,0.0,0.0
SUPIR/ava_images___74410.npy.gz,0.0,0.30315303802490234,0.19402970373630524,0.21955370903015137,0.08195082098245621,0.0,0.2681002616882324,0.860969387755102,0.0,0.0
SUPIR/ava_images___751927.npy.gz,0.0,0.2962494194507599,0.08737073093652725,0.0657605528831482,0.06647089123725891,0.0,0.2256525158882141,0.925124951941561,0.0,0.0
SUPIR/ava_images___773899.npy.gz,0.0,0.25250881910324097,0.09062233567237854,0.0900232195854187,0.05478575453162193,0.0,0.1831018626689911,0.8782201405152225,0.0,0.0
SUPIR/ava_images___827653.npy.gz,0.0,0.2799686789512634,0.12114272266626358,0.1294439435005188,0.06380581855773926,0.0,0.2199920117855072,0.8761682242990654,0.0,0.0
SUPIR/ava_images___842206.npy.gz,0.032467782497406006,0.2798178791999817,0.11290823668241501,0.1118813157081604,0.04479183256626129,0.04577019810676575,0.19300678372383118,1.0,0.0,0.0
